220240,0.284752475,mixed
42700,0.227327766,partially negative
42680,0.290936842,mixed
1366540,0.386748718,partially positive
302830,0.141353306,negative
8500,0.231182467,partially negative
48000,0.219801463,partially negative
7670,0.372729167,partially positive
212500,0.45611336,positive
744900,0.268328236,mixed
202970,0.229078534,partially negative
1225330,0.00741044,very negative
386180,0.16863869,negative
244850,0.30589613,partially positive
1506830,0.065900104,very negative
264710,0.2905,mixed
34330,0.242754995,partially negative
506540,0.168328267,negative
200710,0.393153061,partially positive
1446780,0.159515464,negative
601510,0.260636079,mixed
871720,0.19491062,negative
674940,0.372357217,partially positive
884660,0.296536485,mixed
35450,0.225862786,partially negative
281990,0.157548718,negative
9480,0.266020513,mixed
205100,0.327803109,partially positive
1238840,0.165344262,negative
1049590,0.31884375,partially positive
646570,0.341331967,partially positive
1237970,0.293134328,mixed
312990,0.359562118,partially positive
261640,0.285056643,mixed
548430,0.320329087,partially positive
311690,0.173034979,negative
380600,0.296200204,mixed
234140,0.282308499,mixed
1551360,0.301442411,partially positive
20900,0.289542144,mixed
240720,0.007528321,very negative
203770,0.162214286,negative
1832640,0.161276596,negative
242050,0.279905561,mixed
782330,0.093059701,very negative
813780,0.440226105,positive
209080,0.388737374,partially positive
518790,0.301227702,partially positive
620980,0.061046512,very negative
397540,0.174553846,negative
33900,0.217895267,partially negative
546560,0.359317943,partially positive
99900,0.330800405,partially positive
380,0.32721585,partially positive
960090,0.250688525,mixed
389730,0.255493827,mixed
299360,0.28200409,mixed
220200,0.268483607,mixed
1293830,0.272535059,mixed
244210,0.416628151,positive
224600,0.325863821,partially positive
214950,0.220234216,partially negative
10090,0.267867495,mixed
1604030,0.292358393,mixed
35720,0.552602881,very positive
280,0.308921971,partially positive
200510,0.236857143,partially negative
340,0.335149948,partially positive
335240,0.178480493,negative
232770,0.163690722,negative
50130,0.431985371,positive
4560,0.349236253,partially positive
355180,0.372964103,partially positive
212680,0.235318275,partially negative
270880,0.450791367,positive
207610,0.255208111,mixed
208650,0.225588235,partially negative
219740,0.310062048,partially positive
213670,0.349481328,partially positive
233130,0.259072165,mixed
1196590,0.167636761,negative
368230,0.301546392,partially positive
359320,0.267131063,mixed
475150,0.446323907,positive
457140,0.219876033,partially negative
418370,0.111060924,negative
439190,0.375513347,partially positive
617290,0.264652352,mixed
12100,0.313987342,partially positive
247080,0.213739754,partially negative
209870,0.303860182,partially positive
203140,0.281235231,mixed
113200,0.137349896,negative
304390,0.101038422,negative
391720,0.04425,very negative
387990,0.473302374,positive
312660,0.314953464,partially positive
880940,0.43390625,positive
372000,0.208903553,partially negative
1151340,0.138128232,negative
242720,0.210010111,partially negative
918570,0.160970072,negative
1289310,0.150476718,negative
307780,0.233176594,partially negative
766570,0.237213115,partially negative
24200,0.332264914,partially positive
279720,0.047721088,very negative
761890,0.182474438,negative
1263850,0.290346939,mixed
282070,0.016750261,very negative
48700,0.251502591,mixed
678950,0.251492228,mixed
962130,0.37298768,partially positive
291480,0.171171548,negative
282440,0.351146366,partially positive
8850,0.394840371,partially positive
1172380,0.306326964,partially positive
1180380,0.054830421,very negative
316010,0.266139113,mixed
286690,0.272508073,mixed
582160,0.351864952,partially positive
239030,0.233123028,partially negative
728880,0.395207039,partially positive
845070,0.379508882,partially positive
33230,0.330221053,partially positive
262410,0.378735984,partially positive
39120,0.385373737,partially positive
838350,0.261818182,mixed
253980,0.260509684,mixed
391460,0.20617284,partially negative
265930,0.207865979,partially negative
65800,0.419230769,positive
361420,0.40946875,positive
246620,0.117717842,negative
387290,0.381790576,partially positive
364360,0.201969388,partially negative
11020,0.394147089,partially positive
107100,0.533823227,very positive
379430,0.231517672,partially negative
287390,0.29855615,mixed
323190,0.224108446,partially negative
438740,0.245416667,partially negative
386940,0.441524202,positive
530700,0.203973442,partially negative
644560,0.20776987,partially negative
1677740,0.21044586,partially negative
1721470,0.196663202,negative
286570,0.225297131,partially negative
335300,0.077804622,very negative
207140,0.470359712,positive
203290,0.405581395,positive
1158310,0.25,mixed
55100,0.175733471,negative
362890,0.454662447,positive
1057090,0.456575916,positive
